id,produto,quantidade,preço,data
1,Sabão em Pó,2,12.99,2024-10-01
2,Esponja de Cozinha,6,3.5,2024-10-05
3,Detergente Líquido,3,7.99,2024-10-10
4,Amaciante de Roupas,1,15.9,2024-10-11
5,Rolo de Papel Toalha,4,5.75,2024-10-12
6,Limpador Multiuso,2,8.3,2024-10-15
7,Sabão em Pó,5,12.99,2024-10-04
8,Saco de Lixo 50L,3,11.0,2024-10-17
9,Desinfetante,2,9.99,2024-10-18
10,Shampoo,1,20.0,2024-10-19
11,Condicionador,1,18.5,2024-10-19
12,Creme Dental,3,4.99,2024-10-20
13,Escova de Dentes,4,7.49,2024-10-20
14,Sabonete Líquido,2,6.75,2024-10-21
15,Desodorante,2,14.99,2024-10-22
16,Papel Higiênico 12 rolos,1,21.9,2024-10-23
17,Vassoura,1,15.0,2024-10-24
18,Rodo,1,12.0,2024-10-24
19,Escova de Dentes,5,7.49,2024-10-26
20,Luva de Borracha,2,9.0,2024-10-26
21,Fósforos,5,2.5,2024-10-27
22,Isqueiro,2,5.99,2024-10-28
23,Pilhas AA,8,12.99,2024-10-29
24,Velas,3,3.99,2024-10-29
25,Extensão Elétrica,1,29.9,2024-10-30
26,Panela de Pressão,1,150.0,2024-11-01
27,Jogo de Talheres,1,89.99,2024-11-01
28,Copos de Vidro,6,45.0,2024-11-02
29,Pratos Rasos,4,35.0,2024-11-02
30,Garrafa Térmica,1,55.0,2024-11-03
31,Ventilador,1,230.0,2024-11-05
32,Copos de Vidro,30,45.0,2024-11-07
33,Aspirador de Pó,1,300.0,2024-11-07
34,Micro-ondas,1,600.0,2024-11-08
35,Máquina de Lavar,1,1800.0,2024-11-10
36,Geladeira,1,3500.0,2024-11-15
37,Liquidificador,1,180.0,2024-11-18
38,Batedeira,1,250.0,2024-11-20
39,Torradeira,1,130.0,2024-11-22
40,Faca de Cozinha,2,20.0,2024-11-25
41,Tabua de Corte,1,35.0,2024-11-26
42,Coador de Café,1,15.0,2024-11-28
43,Espremedor de Frutas,1,50.0,2024-11-30
44,Jogo de Lençol,1,180.0,2024-12-01
45,Cobertor,1,250.0,2024-12-02
46,Almofada,4,30.0,2024-12-03
47,Abajur,1,120.0,2024-12-04
48,Cortina,2,90.0,2024-12-05
49,Tapete,1,300.0,2024-12-06
50,Relógio de Parede,1,85.0,2024-12-07
51,Espelho,1,200.0,2024-12-08
52,Estante,1,400.0,2024-12-10
53,Mesa de Centro,1,350.0,2024-12-12
54,Sofá,1,2500.0,2024-12-15
55,Cadeira de Escritório,1,750.0,2024-12-17
56,Lâmpada LED,5,10.0,2024-12-20
57,Fita Isolante,2,5.5,2024-12-22
58,Prego,1,3.0,2024-12-23
59,Parafuso,1,4.0,2024-12-23
60,Martelo,1,25.0,2024-12-24
61,Furadeira,1,450.0,2024-12-26
62,Chave de Fenda,1,12.0,2024-12-28
63,Alicate,1,20.0,2024-12-29
64,Caixa Organizadora,2,80.0,2024-12-30
65,Espremedor de Frutas,7,50.0,2024-11-30
66,Filtro de Água,1,250.0,2025-01-02
