"id","titulopincipal","titulooriginal","anolancamento","genero","notamedia","numerovotos","partition_0","partition_1"
"tt0031458","El huésped del sevillano","El huésped del sevillano","1970","Comedy","6.7","14","parquet","movies"
"tt0039442","Habla, mudita","Habla, mudita","1973","Drama","6.1","155","parquet","movies"
"tt0044952","Nagarik","Nagarik","1977","Drama","8.0","219","parquet","movies"
"tt0048234","Juicio final","Juicio final","1960","Drama","4.1","11","parquet","movies"
"tt0051874","La Llorona","La Llorona","1960","Drama,Fantasy,Horror","5.8","122","parquet","movies"
"tt0052205","The Small World of Sammy Lee","The Small World of Sammy Lee","1963","Drama","7.2","479","parquet","movies"
"tt0052376","War Is Hell","War Is Hell","1961","Drama,War","5.6","133","parquet","movies"
"tt0052570","The Dam on the Yellow River","Apocalisse sul fiume giallo","1960","Drama","4.3","43","parquet","movies"
"tt0052614","Le bel âge","Le bel âge","1960","Comedy,Drama","7.1","65","parquet","movies"
"tt0052635","Mein Kampf","Den blodiga tiden","1960","Documentary,Drama,War","7.6","374","parquet","movies"
