"id","production_companies","imdb_id","popularity","revenue","budget","job","department","keywords","director","partition_0","partition_1","partition_2","partition_3","partition_4"
"22167","Laurel Entertainment,United Film Distribution Company (UFDC)","tt0082622","7.375","0","3000000","N/A","N/A","knight,motorcycle,jousting,troupe,magician,bikers,renaissance troupe,renaissance faire","George A. Romero","parquet","movies","2025","01","20"
"16281","Laurel Entertainment,United Film Distribution Company (UFDC)","tt0083767","17.856","21028755","8000000","N/A","N/A","monster,halloween,gore,meteor,buried alive,cockroach,based on comic,anthology,animated scene,zombie,living dead","George A. Romero","parquet","movies","2025","01","20"
"16288","New World Pictures,Laurel Entertainment,RLJ Entertainment","tt0092796","14.077","14000000","3500000","N/A","N/A","lake,based on novel or book,gore,hit-and-run,anthology,revenge,murder,blob,hitchhiker,zombie,playful,hilarious,admiring,frightened","Michael Gornick","parquet","movies","2025","01","20"
"1013651","Les Films de la Plage,Frakas Productions,Da Yamms Entertainment,FilmCore,Mr Salmon Films,Shamans Films","tt13157456","2.93","0","0","N/A","N/A","documentary filmmaking,biographical documentary","Daphné Baiwir","parquet","movies","2025","01","20"
"111969","Troy Entertainment,MICA Entertainment,The Solution,Informant Films","tt2205697","27.664","81071","0","N/A","N/A","cheating,parent child relationship,writing,thanksgiving,north carolina,love,writer,dating,relationship,drugs,family,high school student,beach house,novelist,unhappiness,first love,ex-husband ex-wife relationship,divorced father,reconnect,college student,stuck,holidays,affair","Josh Boone","parquet","movies","2025","01","20"
"130443","Sony Pictures","tt0365908","2.621","0","0","N/A","N/A","documentary filmmaking","Michael Gillis","parquet","movies","2025","01","20"
"173458","BBC Worldwide","tt0386051","1.766","0","0","N/A","N/A","","David Stewart","parquet","movies","2025","01","20"
"216566","","tt0130424","1.399","0","0","N/A","N/A","","John Simmons","parquet","movies","2025","01","20"
"243051","","tt0397873","1.004","0","0","N/A","N/A","","N/A","parquet","movies","2025","01","20"
"487429","Turtle Bay Entertainment","tt0458376","0.8","0","0","N/A","N/A","based on short story,short film","Jack Edward Sawyers","parquet","movies","2025","01","20"
